epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.828,5.81576,12.6435,4.08745,1e-05,1e-05,1e-05,0,5.47109,13.9615,3.70906,0.0910096,0.00099893,0.00099893
2,405.179,4.59605,4.53949,2.42801,0.1513,0.0223,0.01054,0.0031,3.27918,3.92396,1.66169,0.0820095,0.00199881,0.00199881
3,603.213,3.22499,3.01644,1.55869,0.21787,0.05792,0.03372,0.01121,2.80893,3.77895,1.44533,0.0730089,0.0029982,0.0029982
4,796.382,2.93676,2.6659,1.45372,0.63783,0.09529,0.06726,0.02262,2.66854,2.92089,1.41159,0.0640074,0.00399673,0.00399673
5,985.114,2.80277,2.46974,1.39919,0.30378,0.11662,0.09888,0.0391,2.52635,2.44475,1.35341,0.0550047,0.00499405,0.00499405
6,1173.55,2.69334,2.34298,1.36047,0.35468,0.13125,0.12785,0.05287,2.40494,2.27543,1.29598,0.0460005,0.00598978,0.00598978
7,1357.99,2.59268,2.17413,1.32215,0.36434,0.13485,0.13724,0.05524,2.3416,2.05957,1.26662,0.0369943,0.00698356,0.00698356
8,1543.77,2.53858,2.09339,1.30462,0.34984,0.14805,0.14228,0.05882,2.32008,2.11237,1.24832,0.0279857,0.00797502,0.00797502
9,1820.71,2.49363,2.01805,1.27616,0.29298,0.1695,0.1644,0.06744,2.26177,1.95172,1.2402,0.0189745,0.00896381,0.00896381
10,2004.02,2.45317,1.94603,1.2605,0.26846,0.18369,0.17903,0.07325,2.22867,1.84526,1.22757,0.00996025,0.00994955,0.00994955
11,2188.57,2.41929,1.88828,1.24851,0.36173,0.19638,0.19719,0.07994,2.21747,1.87648,1.20294,0.00993906,0.00993906,0.00993906
12,2373.39,2.39925,1.83905,1.23143,0.51278,0.19714,0.19875,0.08191,2.19068,1.75155,1.20201,0.00992629,0.00992629,0.00992629
13,2558.51,2.37425,1.83095,1.22393,0.53654,0.21668,0.22263,0.09298,2.16182,1.78577,1.18043,0.00991232,0.00991232,0.00991232
14,2741.36,2.34169,1.79129,1.20552,0.45234,0.22637,0.23139,0.09958,2.13722,1.62651,1.16466,0.00989715,0.00989715,0.00989715
15,2926.59,2.32798,1.73478,1.18868,0.53924,0.22164,0.23751,0.10527,2.12906,1.60623,1.15861,0.00988079,0.00988079,0.00988079
16,3110.02,2.31018,1.69773,1.17237,0.5224,0.23246,0.23913,0.10341,2.11467,1.58109,1.14661,0.00986323,0.00986323,0.00986323
17,3293.12,2.30276,1.68763,1.16738,0.48718,0.24814,0.24792,0.10335,2.10707,1.6213,1.13693,0.00984449,0.00984449,0.00984449
18,3476.02,2.29129,1.66744,1.1588,0.45164,0.25255,0.25227,0.10875,2.09113,1.59188,1.13078,0.00982456,0.00982456,0.00982456
19,3658.82,2.2514,1.61337,1.15298,0.46087,0.26954,0.26154,0.11571,2.07599,1.54899,1.12896,0.00980345,0.00980345,0.00980345
20,3842.42,2.26362,1.64582,1.15169,0.47321,0.26979,0.27017,0.11843,2.06411,1.50876,1.12173,0.00978118,0.00978118,0.00978118
21,4093.09,2.23988,1.59373,1.14785,0.48764,0.26461,0.26785,0.11842,2.06275,1.49061,1.1208,0.00975773,0.00975773,0.00975773
22,4277.1,2.23865,1.62077,1.15106,0.59417,0.27371,0.27245,0.12115,2.05416,1.4729,1.11491,0.00973312,0.00973312,0.00973312
23,4459.73,2.23369,1.57958,1.14293,0.64222,0.26539,0.27787,0.12296,2.04357,1.4854,1.11474,0.00970736,0.00970736,0.00970736
24,4642.18,2.2274,1.58389,1.14086,0.6179,0.28151,0.2826,0.12566,2.03456,1.43375,1.10783,0.00968045,0.00968045,0.00968045
25,4825.2,2.21668,1.55377,1.13777,0.62191,0.27977,0.29036,0.1286,2.035,1.42958,1.10899,0.00965239,0.00965239,0.00965239
26,5008.48,2.20888,1.53626,1.13849,0.4981,0.28899,0.29222,0.1302,2.02215,1.4182,1.1047,0.0096232,0.0096232,0.0096232
27,5262.56,2.20027,1.54794,1.13465,0.4646,0.29706,0.29008,0.1287,2.02134,1.41281,1.10276,0.00959289,0.00959289,0.00959289
28,5446.52,2.20944,1.51891,1.12888,0.62946,0.28672,0.30265,0.13416,2.01642,1.40223,1.10131,0.00956145,0.00956145,0.00956145
29,5631.32,2.18872,1.52442,1.13358,0.53217,0.32063,0.31162,0.13851,2.01425,1.39622,1.1006,0.00952889,0.00952889,0.00952889
30,5816.39,2.18598,1.5091,1.13083,0.53392,0.31133,0.30962,0.13835,2.00635,1.38902,1.09655,0.00949524,0.00949524,0.00949524
31,5999.17,2.17091,1.47857,1.11902,0.44319,0.31506,0.3203,0.14341,2.00628,1.37837,1.0976,0.00946048,0.00946048,0.00946048
32,6180.78,2.17032,1.49358,1.12636,0.54733,0.32409,0.32506,0.14581,1.99523,1.35819,1.09416,0.00942464,0.00942464,0.00942464
