epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7256,5.72505,9.76371,4.38766,0,0,0,0,5.69501,8.00931,4.08677,0.0911169,0.000987013,0.000987013
2,41.4698,5.68975,7.10336,4.35707,0,0,0,0,5.64188,7.0943,4.00587,0.0821168,0.00198689,0.00198689
3,60.1799,5.75829,6.68352,4.1857,0.00021,0.00075,0.0001,2e-05,5.55587,6.82557,4.08782,0.0731162,0.00298628,0.00298628
4,78.9192,5.68899,6.58355,3.91917,0.00443,0.00123,0.00041,0.0001,4.67315,6.0064,4.35881,0.0641147,0.00398482,0.00398482
5,98.3282,4.37063,4.31856,3.00777,0.00998,0.03296,0.00306,0.00079,3.99927,18.5514,2.7546,0.055112,0.00498214,0.00498214
6,116.882,3.77107,3.42153,2.1128,0.07472,0.0602,0.01774,0.00428,3.5937,4.12883,2.26397,0.0461077,0.00597788,0.00597788
7,135.835,3.53971,3.065,1.88303,0.07913,0.06605,0.02139,0.00523,3.40392,14.6722,1.92629,0.0371015,0.00697166,0.00697166
8,154.202,3.40209,3.03102,1.78486,0.12446,0.07521,0.03011,0.00763,3.30384,3.37406,1.8314,0.028093,0.00796314,0.00796314
9,172.567,3.27843,2.83028,1.71089,0.15273,0.12495,0.05274,0.01337,3.10493,3.61283,1.7602,0.0190818,0.00895193,0.00895193
10,192.471,3.18751,2.83512,1.7009,0.15094,0.11867,0.04638,0.01234,3.17069,3.61504,1.69839,0.0100676,0.00993769,0.00993769
11,210.629,3.13657,2.77575,1.63576,0.15905,0.1328,0.05856,0.01582,3.02558,2.87696,1.66927,0.00993906,0.00993906,0.00993906
12,228.762,3.03106,2.59238,1.60913,0.18231,0.14722,0.06653,0.01801,2.9573,3.25985,1.67384,0.00992629,0.00992629,0.00992629
13,247.075,2.96466,2.57396,1.6008,0.1695,0.14194,0.06714,0.0175,3.053,3.20685,1.66458,0.00991232,0.00991232,0.00991232
14,266.056,2.98036,2.59378,1.55586,0.22645,0.19489,0.09279,0.02444,2.81807,2.67012,1.60736,0.00989715,0.00989715,0.00989715
15,284.117,2.93852,2.59378,1.52443,0.28198,0.13209,0.08921,0.02525,2.80335,2.45046,1.60767,0.00988079,0.00988079,0.00988079
16,302.961,2.93278,2.43248,1.51109,0.2259,0.19364,0.0947,0.02499,2.8342,2.44372,1.58559,0.00986323,0.00986323,0.00986323
17,322.39,2.85503,2.44241,1.55971,0.23442,0.17216,0.10172,0.02896,2.78873,3.44895,1.59447,0.00984449,0.00984449,0.00984449
18,341.486,2.87085,2.37246,1.49369,0.26842,0.22024,0.1157,0.03212,2.74019,2.29423,1.59387,0.00982456,0.00982456,0.00982456
19,359.66,2.84868,2.37211,1.49849,0.29384,0.14794,0.10946,0.03323,2.76929,2.34145,1.57307,0.00980345,0.00980345,0.00980345
20,377.998,2.84383,2.24721,1.46065,0.2159,0.21366,0.10876,0.03073,2.75051,2.30716,1.59127,0.00978118,0.00978118,0.00978118
21,396.486,2.85271,2.29174,1.44017,0.27481,0.21159,0.12277,0.03513,2.73498,2.17201,1.54538,0.00975773,0.00975773,0.00975773
22,414.679,2.82573,2.27893,1.47402,0.29411,0.21231,0.13451,0.03797,2.65431,2.11312,1.56326,0.00973312,0.00973312,0.00973312
23,433.401,2.79032,2.23538,1.48257,0.27813,0.23345,0.13244,0.03612,2.70221,2.11337,1.52252,0.00970736,0.00970736,0.00970736
24,451.487,2.77385,2.19141,1.46306,0.28526,0.23455,0.14652,0.04303,2.62335,2.14274,1.52897,0.00968045,0.00968045,0.00968045
25,469.854,2.76408,2.18012,1.46042,0.27804,0.20156,0.13647,0.03912,2.70383,2.20765,1.53416,0.00965239,0.00965239,0.00965239
26,488.11,2.74657,2.20589,1.43249,0.31043,0.23393,0.15258,0.04209,2.63322,2.09403,1.50492,0.0096232,0.0096232,0.0096232
27,506.354,2.77716,2.15678,1.43209,0.26079,0.22978,0.1272,0.03588,2.64209,2.16006,1.53639,0.00959289,0.00959289,0.00959289
28,524.411,2.68702,2.14882,1.43953,0.29015,0.20782,0.13996,0.04049,2.66364,2.09449,1.54257,0.00956145,0.00956145,0.00956145
29,542.342,2.75021,2.15684,1.45461,0.29906,0.23933,0.15448,0.04387,2.60716,2.09942,1.51065,0.00952889,0.00952889,0.00952889
