epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.199,4.56507,4.94912,3.88799,0.00115,0.01028,0.00064,0.00015,4.35977,4.44609,3.65818,0.0910222,0.000997531,0.000997531
2,205.463,4.3166,4.28186,3.18532,0.00828,0.00969,0.00293,0.00077,3.98627,3.91868,2.90716,0.0820221,0.00199741,0.00199741
3,301.939,3.40244,3.50068,2.5027,0.15294,0.10546,0.0482,0.01906,2.70726,2.83687,1.93062,0.0730215,0.0029968,0.0029968
4,398.436,2.63792,2.76095,1.89825,0.19795,0.13274,0.08395,0.03865,2.25978,2.35803,1.6461,0.06402,0.00399533,0.00399533
5,493.227,2.33888,2.39697,1.69488,0.2538,0.14307,0.10907,0.05347,2.06147,2.04506,1.51541,0.0550173,0.00499265,0.00499265
6,585.3,2.17378,2.19459,1.58959,0.16031,0.16284,0.12391,0.06349,1.9482,1.90348,1.444,0.0460131,0.00598838,0.00598838
7,676.358,2.08043,2.05158,1.52389,0.19113,0.18441,0.14225,0.07362,1.86026,1.77701,1.39807,0.0370068,0.00698216,0.00698216
8,768.56,2.01257,1.9586,1.47583,0.22718,0.19594,0.16465,0.08674,1.77656,1.66501,1.34929,0.0279983,0.00797362,0.00797362
9,860.911,1.94832,1.86326,1.42406,0.26226,0.21349,0.17886,0.09572,1.71867,1.6222,1.31095,0.0189871,0.00896241,0.00896241
10,951.876,1.89939,1.79477,1.39768,0.26921,0.24246,0.20592,0.1134,1.66078,1.52738,1.28188,0.00997285,0.00994816,0.00994816
11,1042.19,1.84357,1.73398,1.37981,0.28062,0.24181,0.2121,0.11845,1.64629,1.47378,1.27726,0.00993906,0.00993906,0.00993906
12,1132.32,1.79033,1.65012,1.35236,0.31185,0.27163,0.23934,0.13322,1.59732,1.39825,1.24545,0.00992629,0.00992629,0.00992629
13,1222.06,1.75282,1.59408,1.3246,0.34243,0.2889,0.26215,0.14904,1.54514,1.3351,1.2292,0.00991232,0.00991232,0.00991232
14,1312.38,1.69853,1.53655,1.30449,0.34706,0.29742,0.27355,0.15537,1.52443,1.31631,1.21729,0.00989715,0.00989715,0.00989715
15,1403.64,1.6991,1.51107,1.28478,0.37428,0.30528,0.28571,0.16383,1.50223,1.29272,1.20171,0.00988079,0.00988079,0.00988079
16,1493.44,1.67092,1.4731,1.27965,0.37677,0.31272,0.29849,0.17267,1.49234,1.25477,1.19785,0.00986323,0.00986323,0.00986323
